id time psim y risk
1 0 0.490651101742654 0 0
1 1 0.423401474744732 1 0
1 2 0.358874882114526 1 0
1 3 0.299081343360799 0 0
2 0 0.538793790844515 0 0
2 1 0.430954962878956 1 0
2 2 0.329289641738776 0 0
2 3 0.241432232726753 0 0
3 0 0.428773189418083 1 0
3 1 0.380789026756741 0 0
3 2 0.335025320595401 1 0
3 3 0.292166480732321 0 0
4 0 0.530965721169863 0 0
4 1 0.463700580982098 0 0
4 2 0.397730886535066 1 0
4 3 0.335279095778254 1 0
5 0 0.655589192731329 0 0
5 1 0.558891123932504 0 0
5 2 0.457509406872261 1 0
5 3 0.359528872768743 1 0
6 0 0.537076838888526 0 0
6 1 0.497257175810213 1 0
6 2 0.45747227570242 0 0
6 3 0.41822251959143 1 0
7 0 0.467936878134191 0 0
7 1 0.347785661639042 0 0
7 2 0.244318918268521 0 0
7 3 0.163898432660125 1 0
8 0 0.469342446517246 0 0
8 1 0.383279681523343 0 0
8 2 0.303958714022323 0 0
8 3 0.234803526487414 0 0
9 0 0.521363172760897 1 0
9 1 0.398347682380122 0 0
9 2 0.286956085538062 1 0
9 3 0.196538156975237 0 0
10 0 0.487284070647237 1 0
10 1 0.368893452674845 1 0
10 2 0.264431971685381 0 0
10 3 0.18106462447887 0 0
11 0 0.579615893520316 0 0
11 1 0.472928467374572 1 0
11 2 0.368657364448735 0 0
11 3 0.275365120260479 1 0
12 0 0.534469498268073 1 0
12 1 0.457390769709544 0 0
12 2 0.382299432930908 1 0
12 3 0.312437557672746 0 0
13 0 0.455960097959717 0 0
13 1 0.362439104114304 0 0
13 2 0.278288052858842 1 0
13 3 0.207321763172274 0 0
14 0 0.513699981342334 1 0
14 1 0.425063890721081 1 0
14 2 0.340997426670657 1 0
14 3 0.265868647696421 0 0
15 0 0.46094606688576 0 0
15 1 0.323505943451833 0 0
15 2 0.211005064067223 0 0
15 3 0.130102887650331 0 0
16 0 0.495727013801419 1 0
16 1 0.403139421736779 1 0
16 2 0.316974727726543 0 0
16 3 0.241766584665068 0 0
17 0 0.523395371793052 0 0
17 1 0.399870109439812 1 0
17 2 0.287888229335676 0 0
17 3 0.196973456427586 0 0
18 0 0.498691301530208 0 0
18 1 0.411068861814788 0 0
18 2 0.328745991620722 0 0
18 3 0.255750125234406 0 0
19 0 0.478434856206617 1 0
19 1 0.373086995800487 0 0
19 2 0.278547449631284 0 0
19 3 0.200309641521167 0 0
20 0 0.600678374158726 1 0
20 1 0.522427486328852 1 0
20 2 0.443060051855128 1 0
20 3 0.36649700255832 0 0
21 0 0.495864928529911 0 0
21 1 0.400167713526434 1 0
21 2 0.311526582146635 0 0
21 3 0.234833316564867 0 0
22 0 0.454227831991656 1 0
22 1 0.385597195774499 1 0
22 2 0.321232781599352 0 0
22 3 0.263012969722532 0 0
23 0 0.564888987694632 0 0
23 1 0.476072983205744 0 0
23 2 0.3887450328114 1 0
23 3 0.308018422903578 1 0
24 0 0.498267894713078 0 0
24 1 0.385240771048287 0 0
24 2 0.283372092111125 0 0
24 3 0.199690537014016 1 0
25 0 0.607929740385566 1 0
25 1 0.555524579955367 0 0
25 2 0.501854477182107 0 0
25 3 0.448141605491732 1 0
26 0 0.669882747597996 1 0
26 1 0.538950646481958 1 0
26 2 0.402413956513217 1 0
26 3 0.279498038580494 0 0
27 0 0.53074145858386 1 0
27 1 0.460008524251801 0 0
27 2 0.390850688398636 1 0
27 3 0.325816660260194 0 0
28 0 0.514319338230013 1 0
28 1 0.443522598502769 1 0
28 2 0.374947733837928 1 0
28 3 0.311049050701275 0 0
29 0 0.41416500116544 0 0
29 1 0.330363915368744 0 0
29 2 0.256106321319915 1 0
29 3 0.193711559279768 1 0
30 0 0.612434098114658 0 0
30 1 0.515547930302572 1 0
30 2 0.417478783882991 0 0
30 3 0.325529348555151 1 0
31 0 0.596896654477123 1 0
31 1 0.498336148715249 1 0
31 2 0.399904778485609 1 0
31 3 0.308942399010765 0 0
32 0 0.434107474207352 0 0
32 1 0.336861927713247 0 0
32 2 0.251710911016516 0 0
32 3 0.182171190259645 0 0
33 0 0.522194820203728 0 0
33 1 0.458372259507454 1 0
33 2 0.395887048780506 0 0
33 3 0.336625824239721 0 0
34 0 0.49933305597188 0 0
34 1 0.383840646922491 1 0
34 2 0.280115554596571 0 0
34 3 0.195525438961603 0 0
35 0 0.369113910683241 0 0
35 1 0.300751284622609 0 0
35 2 0.240228767171208 0 0
35 3 0.188600646395715 0 0
36 0 0.516895080577591 1 0
36 1 0.439456433288164 0 0
36 2 0.364857428013918 0 0
36 3 0.296229613747179 1 0
37 0 0.443954805886442 0 0
37 1 0.325013547355233 0 0
37 2 0.225041490711491 1 0
37 3 0.1490307096773 1 0
38 0 0.486182338735469 0 0
38 1 0.38434892733131 0 0
38 2 0.291734600793255 0 0
38 3 0.213690927620193 0 0
39 0 0.489399777123118 1 0
39 1 0.400610743121332 1 0
39 2 0.317901012675602 0 0
39 3 0.245279615396732 0 0
40 0 0.537887740736006 1 0
40 1 0.426814926773374 0 0
40 2 0.322663468460659 1 0
40 3 0.233570537732345 0 0
41 0 0.541109944730527 1 0
41 1 0.421080207343036 1 0
41 2 0.30970623151728 0 0
41 3 0.216760495671997 0 0
42 0 0.461195204092973 1 0
42 1 0.38627247553568 0 0
42 2 0.316374388610283 0 0
42 3 0.253892220812954 1 0
43 0 0.531243308189161 1 0
43 1 0.459222772768678 1 0
43 2 0.388866287298302 0 0
43 3 0.322853611212772 1 0
44 0 0.407240061232003 1 0
44 1 0.337368037287151 0 0
44 2 0.273943901090661 0 0
44 3 0.218511364612919 0 0
45 0 0.436895594955062 0 0
45 1 0.330574978174741 1 0
45 2 0.239139941297777 0 0
45 3 0.166697572063953 0 0
46 0 0.586926749923149 1 0
46 1 0.52690991951839 0 0
46 2 0.466105186355721 1 0
46 3 0.406291202382457 1 0
47 0 0.422300481343354 0 0
47 1 0.365494633165616 0 0
47 2 0.312200549250902 1 0
47 3 0.263450894820369 1 0
48 0 0.523180316580107 1 0
48 1 0.411577963217126 1 0
48 2 0.308385150436602 0 0
48 3 0.221333281962279 0 0
49 0 0.420956888919796 0 0
49 1 0.317703131725929 0 0
49 2 0.229727875135149 0 0
49 3 0.160387279132681 0 0
50 0 0.407528726137152 1 0
50 1 0.320489594024505 1 0
50 2 0.244372558165474 1 0
50 3 0.181504672796702 1 0
51 0 0.457506775545235 1 0
51 1 0.353612542869885 0 0
51 2 0.261920465113191 0 0
51 3 0.187121410818646 0 0
52 0 0.43953427654427 1 0
52 1 0.365297437677504 1 0
52 2 0.296955739971094 1 0
52 3 0.236632922089998 0 0
53 0 0.469080829453544 0 0
53 1 0.34836311333534 1 0
53 2 0.244410408031325 1 0
53 3 0.16368561734235 0 0
54 0 0.523724835137981 0 0
54 1 0.450652568897037 1 0
54 2 0.379648728760662 0 0
54 3 0.313448855937488 0 0
55 0 0.496023834305796 0 0
55 1 0.460971803766429 0 0
55 2 0.426301535505399 0 0
55 3 0.392340879525459 1 0
56 0 0.505024567865088 0 0
56 1 0.408134952275862 0 0
56 2 0.317895431412849 0 0
56 3 0.239533243383829 0 0
57 0 0.497229285560575 0 0
57 1 0.403781901294885 1 0
57 2 0.316829576192902 1 0
