rep,id,Te
1,1,25.4727798266316
2,1,29.6771965665534
3,1,31.3090941228783
4,1,33.5696172368964
5,1,54.6365227058938
6,1,43.0240393437674
7,1,57.1989999641735
8,1,35.4761075511781
9,1,39.4938662319585
10,1,36.0799029145557
1,2,44.3247285111435
2,2,47.4777188088694
3,2,32.975049124504
4,2,36.0329212143875
5,2,59.5574367419429
6,2,54.862395683252
7,2,44.2715368862564
8,2,56.2606574137397
9,2,28.5892872124823
10,2,29.6533054824589
1,3,61.9631199031917
2,3,41.5956957518406
3,3,34.8502626590434
4,3,47.8558942242467
5,3,50.0963092004724
6,3,46.5918185068182
7,3,39.763363847887
8,3,44.7354600256307
9,3,39.3576457314711
10,3,33.386289220567
1,4,43.7955876146572
2,4,35.5507708600397
3,4,46.3195025307475
4,4,41.5880861132412
5,4,40.8118797123176
6,4,36.2513138484425
7,4,37.1570969053538
8,4,52.8647610339289
9,4,38.6463146888244
10,4,32.4668868649663
1,5,50.0529924179881
2,5,40.1516500349807
3,5,31.3774673811209
4,5,42.2870599989899
5,5,41.5484554005622
6,5,47.6810214436087
7,5,47.0743883939146
8,5,49.4389915312561
9,5,39.8889801855201
10,5,76.8971038937232
1,6,33.2916273383446
2,6,48.278929242479
3,6,41.4957062105899
4,6,37.0385883388332
5,6,64.4850656686043
6,6,35.9020159165218
7,6,28.2082065523596
8,6,51.3374000310187
9,6,42.0009414603246
10,6,48.0229673944515
1,7,32.6748011841221
2,7,44.6044681386924
3,7,37.8619867650043
4,7,34.7955373775039
5,7,67.7530533984638
6,7,25.9674262787308
7,7,35.120285771085
8,7,59.4556532845256
9,7,62.2719432206386
10,7,37.4286479432429
1,8,33.8875548733294
2,8,40.9932853869333
3,8,50.6484412137106
4,8,46.0035431838945
5,8,49.1656512512517
6,8,32.8073982661594
7,8,35.3677267952956
8,8,59.5675198553265
9,8,54.5697406496162
10,8,57.8474004100377
1,9,39.3795454830878
2,9,42.7830435373756
3,9,31.8021725966382
4,9,48.4782978789897
5,9,53.270380503614
6,9,31.5249437435662
7,9,52.1536112491163
8,9,69.1306573510238
9,9,45.4016492933363
10,9,41.0026685794867
1,10,65.6039691024258
2,10,50.6580911880649
3,10,51.6547541902878
4,10,32.212181232189
5,10,31.471458224111
6,10,64.3394574333982
7,10,37.5697119512503
8,10,40.941624782454
9,10,38.4072684982756
10,10,54.1154852918485
1,11,42.6036610860949
2,11,36.1635827416309
3,11,25.2518206883092
4,11,50.535200578279
5,11,29.2756540097326
6,11,51.6491622727637
7,11,29.3767921536198
8,11,26.0114293123813
9,11,30.5774510866357
10,11,47.6474898150562
1,12,54.9016509394703
2,12,42.472525842468
3,12,60.4616353819317
4,12,40.9756178068632
5,12,47.1623862939982
6,12,43.1041288889888
7,12,38.2298353922294
8,12,50.3920694987934
9,12,32.2336352253868
10,12,42.9583280386556
1,13,57.581424569282
2,13,27.5413633352133
3,13,31.5393642313213
4,13,46.1889942544995
5,13,45.1370411542509
6,13,42.9888374584407
7,13,35.6156401760453
8,13,22.8533510175779
9,13,36.9742116136608
10,13,36.0861356915536
1,14,37.1198138657197
2,14,53.9423368614849
3,14,43.253072036763
4,14,39.1167874215805
5,14,53.8210826186636
6,14,33.1189190097051
7,14,35.7292881086772
8,14,44.8479693250229
9,14,32.1735182134948
10,14,53.1121411903166
1,15,43.1503559961578
2,15,47.6102106111443
3,15,38.2385007595282
4,15,47.512674161301
5,15,28.306880130458
6,15,45.8125005452544
7,15,45.9491952393115
8,15,69.7628338179126
9,15,48.7733674463491
10,15,37.3455677613755
1,16,47.7220873661043
2,16,25.0126446637232
3,16,63.853896458046
4,16,41.8509231329543
5,16,35.1408312251839
6,16,26.0829096397945
7,16,29.0092620247629
8,16,39.8056152325547
9,16,35.3227447313128
10,16,33.5480538787377
1,17,35.9707965556573
2,17,48.8219862064513
3,17,53.3064502639746
4,17,31.595844997891
5,17,51.1128605077664
6,17,62.3564751106665
7,17,30.7842253206248
8,17,44.7251644665662
9,17,52.8719541456976
10,17,47.6014424832737
1,18,56.5384448465742
2,18,52.7781151963751
3,18,56.2476724963323
4,18,44.0081773436224
5,18,36.1069340974917
6,18,49.2685417985743
7,18,50.0756537357231
8,18,62.2768128567765
9,18,42.9960693774447
10,18,41.6934599398977
1,19,72.4799517762081
2,19,35.8230508336251
3,19,44.4570969172716
4,19,32.6373137164797
