rep,id,th1,th2,th3,th4
1,1,7.39657403962142,1.35361560698728,2.59438785454628,-5.08260302498998
2,1,19.2983911871459,1.35361560698728,2.59438785454628,-5.08260302498998
1,2,15.5831315456807,1.35361560698728,2.59438785454628,-5.08260302498998
2,2,10.3684081971366,1.35361560698728,2.59438785454628,-5.08260302498998
1,3,12.5690214425537,1.35361560698728,2.59438785454628,-5.08260302498998
2,3,13.9722113750701,1.35361560698728,2.59438785454628,-5.08260302498998
1,4,7.92344500844669,1.35361560698728,2.59438785454628,-5.08260302498998
2,4,14.1702981510818,1.35361560698728,2.59438785454628,-5.08260302498998
1,5,9.77141229494994,1.35361560698728,2.59438785454628,-5.08260302498998
2,5,7.33968783808748,1.35361560698728,2.59438785454628,-5.08260302498998
1,6,16.8142902556348,1.35361560698728,2.59438785454628,-5.08260302498998
2,6,9.19891901045033,1.35361560698728,2.59438785454628,-5.08260302498998
1,7,8.07164172869998,1.35361560698728,2.59438785454628,-5.08260302498998
2,7,10.0009736658705,1.35361560698728,2.59438785454628,-5.08260302498998
1,8,20.1020178092165,1.35361560698728,2.59438785454628,-5.08260302498998
2,8,9.70606899387282,1.35361560698728,2.59438785454628,-5.08260302498998
1,9,6.18625867755375,1.35361560698728,2.59438785454628,-5.08260302498998
2,9,6.8381385382656,1.35361560698728,2.59438785454628,-5.08260302498998
1,10,11.91251488955,1.35361560698728,2.59438785454628,-5.08260302498998
2,10,12.150411724941,1.35361560698728,2.59438785454628,-5.08260302498998
1,11,24.4691186316703,1.35361560698728,2.59438785454628,-5.08260302498998
2,11,19.7466173852731,1.35361560698728,2.59438785454628,-5.08260302498998
1,12,0.0538840505424447,1.35361560698728,2.59438785454628,-5.08260302498998
2,12,1.25054946072944,1.35361560698728,2.59438785454628,-5.08260302498998
1,13,8.07061410625518,1.35361560698728,2.59438785454628,-5.08260302498998
2,13,20.0951672652211,1.35361560698728,2.59438785454628,-5.08260302498998
1,14,13.3324679798002,1.35361560698728,2.59438785454628,-5.08260302498998
2,14,7.839718386216,1.35361560698728,2.59438785454628,-5.08260302498998
1,15,21.934276947803,1.35361560698728,2.59438785454628,-5.08260302498998
2,15,20.6309710370743,1.35361560698728,2.59438785454628,-5.08260302498998
1,16,15.9980314120476,1.35361560698728,2.59438785454628,-5.08260302498998
2,16,9.47812478181945,1.35361560698728,2.59438785454628,-5.08260302498998
1,17,9.15289758905412,1.35361560698728,2.59438785454628,-5.08260302498998
2,17,7.92997360085973,1.35361560698728,2.59438785454628,-5.08260302498998
1,18,12.3583837513521,1.35361560698728,2.59438785454628,-5.08260302498998
2,18,10.8044090686764,1.35361560698728,2.59438785454628,-5.08260302498998
1,19,19.3509768707915,1.35361560698728,2.59438785454628,-5.08260302498998
2,19,14.4836734726215,1.35361560698728,2.59438785454628,-5.08260302498998
1,20,14.853062396588,1.35361560698728,2.59438785454628,-5.08260302498998
2,20,9.48449334632277,1.35361560698728,2.59438785454628,-5.08260302498998
1,21,12.5539800186423,1.35361560698728,2.59438785454628,-5.08260302498998
2,21,8.10582384440467,1.35361560698728,2.59438785454628,-5.08260302498998
1,22,13.9093419275357,1.35361560698728,2.59438785454628,-5.08260302498998
2,22,14.9336683797084,1.35361560698728,2.59438785454628,-5.08260302498998
1,23,17.8133815640057,1.35361560698728,2.59438785454628,-5.08260302498998
2,23,20.051292394315,1.35361560698728,2.59438785454628,-5.08260302498998
1,24,12.1283895084693,1.35361560698728,2.59438785454628,-5.08260302498998
